date,corrected,state
2020-06-22,0.021257142857142856,Mississippi
2020-06-22,0.04594285714285714,Missouri
2020-06-22,0.0288,Montana
2020-06-22,0.03977142857142857,Nebraska
2020-06-22,0.026742857142857138,Nevada
2020-06-22,0.02057142857142857,New Hampshire
2020-06-22,0.031542857142857136,New Jersey
2020-06-22,0.017828571428571426,New Mexico
2020-06-22,0.03428571428571428,New York
2020-06-22,0.037028571428571425,North Carolina
2020-06-22,0.024,North Dakota
2020-06-22,0.0384,Ohio
2020-06-22,0.0336,Oklahoma
2020-06-22,0.06034285714285714,Oregon
2020-06-22,0.039085714285714286,Pennsylvania
2020-06-22,0.026057142857142855,Rhode Island
2020-06-22,0.029485714285714282,South Carolina
2020-06-22,0.031542857142857136,South Dakota
2020-06-22,0.032228571428571426,Tennessee
2020-06-22,0.030857142857142854,Texas
2020-06-22,0.0336,Utah
2020-06-22,0.024685714285714283,Vermont
2020-06-22,0.04182857142857143,Virginia
2020-06-22,0.06308571428571427,Washington
2020-06-22,0.02811428571428571,West Virginia
2020-06-22,0.053485714285714275,Wisconsin
2020-06-22,0.02262857142857143,Wyoming
2020-06-29,0.023771428571428572,Alabama
2020-06-29,0.02897142857142857,Alaska
2020-06-29,0.029714285714285717,Arizona
2020-06-29,0.030457142857142856,Arkansas
2020-06-29,0.0364,California
2020-06-29,0.04308571428571429,Colorado
2020-06-29,0.02525714285714286,Connecticut
2020-06-29,0.024514285714285714,Delaware
2020-06-29,0.02897142857142857,Florida
2020-06-29,0.0312,Georgia
2020-06-29,0.0312,Hawaii
2020-06-29,0.0572,Idaho
2020-06-29,0.026742857142857145,Illinois
2020-06-29,0.034171428571428575,Indiana
2020-06-29,0.022285714285714287,Iowa
2020-06-29,0.033428571428571426,Kansas
2020-06-29,0.0364,Kentucky
2020-06-29,0.030457142857142856,Louisiana
2020-06-29,0.014857142857142859,Maine
2020-06-29,0.02822857142857143,Maryland
2020-06-29,0.02897142857142857,Massachusetts
2020-06-29,0.02897142857142857,Michigan
2020-06-29,0.03937142857142857,Minnesota
2020-06-29,0.026742857142857145,Mississippi
2020-06-29,0.03565714285714285,Missouri
2020-06-29,0.02525714285714286,Montana
2020-06-29,0.03491428571428572,Nebraska
2020-06-29,0.03491428571428572,Nevada
2020-06-29,0.022285714285714287,New Hampshire
2020-06-29,0.0416,New Jersey
2020-06-29,0.021542857142857145,New Mexico
2020-06-29,0.029714285714285717,New York
2020-06-29,0.0312,North Carolina
2020-06-29,0.02822857142857143,North Dakota
2020-06-29,0.02822857142857143,Ohio
2020-06-29,0.02897142857142857,Oklahoma
2020-06-29,0.06537142857142858,Oregon
2020-06-29,0.037885714285714286,Pennsylvania
2020-06-29,0.01262857142857143,Rhode Island
2020-06-29,0.029714285714285717,South Carolina
2020-06-29,0.06537142857142858,South Dakota
2020-06-29,0.0364,Tennessee
2020-06-29,0.02822857142857143,Texas
2020-06-29,0.07428571428571429,Utah
2020-06-29,0.034171428571428575,Vermont
2020-06-29,0.0312,Virginia
2020-06-29,0.0676,Washington
2020-06-29,0.02822857142857143,West Virginia
2020-06-29,0.03937142857142857,Wisconsin
2020-06-29,0.0364,Wyoming
2020-07-06,0.014114285714285715,Alabama
2020-07-06,0.014114285714285715,Alaska
2020-07-06,0.017371428571428572,Arizona
2020-07-06,0.016828571428571432,Arkansas
2020-07-06,0.0228,California
2020-07-06,0.01845714285714286,Colorado
2020-07-06,0.020085714285714287,Connecticut
2020-07-06,0.017371428571428572,Delaware
2020-07-06,0.016828571428571432,Florida
2020-07-06,0.023342857142857144,Georgia
2020-07-06,0.019542857142857143,Hawaii
2020-07-06,0.02062857142857143,Idaho
2020-07-06,0.014114285714285715,Illinois
2020-07-06,0.02062857142857143,Indiana
2020-07-06,0.0114,Iowa
2020-07-06,0.023342857142857144,Kansas
2020-07-06,0.022257142857142857,Kentucky
2020-07-06,0.01845714285714286,Louisiana
2020-07-06,0.015742857142857145,Maine
2020-07-06,0.019,Maryland
2020-07-06,0.01845714285714286,Massachusetts
2020-07-06,0.028771428571428573,Michigan
2020-07-06,0.019,Minnesota
2020-07-06,0.013028571428571428,Mississippi
2020-07-06,0.025514285714285715,Missouri
2020-07-06,0.0152,Montana
2020-07-06,0.01845714285714286,Nebraska
2020-07-06,0.025514285714285715,Nevada
2020-07-06,0.0228,New Hampshire
2020-07-06,0.015742857142857145,New Jersey
2020-07-06,0.022257142857142857,New Mexico
2020-07-06,0.017371428571428572,New York
2020-07-06,0.0228,North Carolina
2020-07-06,0.012485714285714286,North Dakota
2020-07-06,0.017914285714285712,Ohio
2020-07-06,0.021171428571428574,Oklahoma
2020-07-06,0.043428571428571434,Oregon
2020-07-06,0.021714285714285717,Pennsylvania
2020-07-06,0.016285714285714285,Rhode Island
2020-07-06,0.011942857142857142,South Carolina
2020-07-06,0.0114,South Dakota
2020-07-06,0.0228,Tennessee
2020-07-06,0.017371428571428572,Texas
2020-07-06,0.05428571428571429,Utah
2020-07-06,0.025514285714285715,Vermont
2020-07-06,0.017914285714285712,Virginia
2020-07-06,0.0418,Washington
2020-07-06,0.0152,West Virginia
2020-07-06,0.021714285714285717,Wisconsin
2020-07-06,0.02062857142857143,Wyoming
2020-07-13,0.005485714285714286,Alabama
2020-07-13,0.010514285714285714,Alaska
2020-07-13,0.008228571428571427,Arizona
2020-07-13,0.009142857142857142,Arkansas
2020-07-13,0.0128,California
2020-07-13,0.008228571428571427,Colorado
2020-07-13,0.012342857142857142,Connecticut
2020-07-13,0.006857142857142857,Delaware
2020-07-13,0.010057142857142857,Florida
2020-07-13,0.010514285714285714,Georgia
2020-07-13,0.008685714285714284,Hawaii
2020-07-13,0.010514285714285714,Idaho
2020-07-13,0.015542857142857141,Illinois
2020-07-13,0.007771428571428571,Indiana
2020-07-13,0.0041142857142857136,Iowa
2020-07-13,0.004571428571428571,Kansas
2020-07-13,0.015085714285714286,Kentucky
2020-07-13,0.010057142857142857,Louisiana
2020-07-13,0.011885714285714284,Maine
2020-07-13,0.010971428571428571,Maryland
2020-07-13,0.010971428571428571,Massachusetts
2020-07-13,0.011428571428571429,Michigan
2020-07-13,0.011885714285714284,Minnesota
2020-07-13,0.008228571428571427,Mississippi
2020-07-13,0.012342857142857142,Missouri
2020-07-13,0.002742857142857143,Montana
2020-07-13,0.005485714285714286,Nebraska
2020-07-13,0.007314285714285714,Nevada
2020-07-13,0.012342857142857142,New Hampshire
2020-07-13,0.010057142857142857,New Jersey
2020-07-13,0.006857142857142857,New Mexico
2020-07-13,0.013714285714285714,New York
2020-07-13,0.008685714285714284,North Carolina
2020-07-13,0.010971428571428571,North Dakota
2020-07-13,0.010971428571428571,Ohio
2020-07-13,0.009142857142857142,Oklahoma
2020-07-13,0.045714285714285714,Oregon
2020-07-13,0.013714285714285714,Pennsylvania
2020-07-13,0.007314285714285714,Rhode Island
2020-07-13,0.009142857142857142,South Carolina
2020-07-13,0.006857142857142857,South Dakota
2020-07-13,0.007771428571428571,Tennessee
2020-07-13,0.007314285714285714,Texas
2020-07-13,0.011885714285714284,Utah
2020-07-13,0.005942857142857142,Vermont
2020-07-13,0.011885714285714284,Virginia
2020-07-13,0.022857142857142857,Washington
2020-07-13,0.004571428571428571,West Virginia
2020-07-13,0.011428571428571429,Wisconsin
2020-07-13,0.0096,Wyoming
2020-07-20,0.011657142857142857,Alabama
2020-07-20,0.013714285714285714,Alaska
2020-07-20,0.010285714285714285,Arizona
2020-07-20,0.012342857142857142,Arkansas
2020-07-20,0.015771428571428568,California
2020-07-20,0.021257142857142856,Colorado
2020-07-20,0.008914285714285713,Connecticut
2020-07-20,0.018514285714285712,Delaware
2020-07-20,0.0096,Florida
2020-07-20,0.0096,Georgia
2020-07-20,0.011657142857142857,Hawaii
2020-07-20,0.04525714285714286,Idaho
2020-07-20,0.016457142857142854,Illinois
2020-07-20,0.013028571428571428,Indiana
2020-07-20,0.006171428571428571,Iowa
2020-07-20,0.008914285714285713,Kansas
2020-07-20,0.03565714285714285,Kentucky
2020-07-20,0.0096,Louisiana
2020-07-20,0.006171428571428571,Maine
2020-07-20,0.010971428571428571,Maryland
2020-07-20,0.011657142857142857,Massachusetts
2020-07-20,0.011657142857142857,Michigan
2020-07-20,0.011657142857142857,Minnesota
2020-07-20,0.006857142857142857,Mississippi
2020-07-20,0.013714285714285714,Missouri
2020-07-20,0.012342857142857142,Montana
2020-07-20,0.013028571428571428,Nebraska
2020-07-20,0.015085714285714286,Nevada
2020-07-20,0.010971428571428571,New Hampshire
2020-07-20,0.008228571428571427,New Jersey
2020-07-20,0.013714285714285714,New Mexico
2020-07-20,0.010285714285714285,New York
2020-07-20,0.0144,North Carolina
2020-07-20,0.006171428571428571,North Dakota
2020-07-20,0.010971428571428571,Ohio
2020-07-20,0.013028571428571428,Oklahoma
2020-07-20,0.06857142857142856,Oregon
2020-07-20,0.013028571428571428,Pennsylvania
2020-07-20,0.011657142857142857,Rhode Island
2020-07-20,0.010971428571428571,South Carolina
2020-07-20,0.012342857142857142,South Dakota
2020-07-20,0.010971428571428571,Tennessee
2020-07-20,0.013714285714285714,Texas
2020-07-20,0.012342857142857142,Utah
2020-07-20,0.013714285714285714,Vermont
2020-07-20,0.01714285714285714,Virginia
2020-07-20,0.04457142857142857,Washington
2020-07-20,0.0041142857142857136,West Virginia
2020-07-20,0.010971428571428571,Wisconsin
2020-07-20,0.005485714285714286,Wyoming
2020-07-27,0.012,Alabama
2020-07-27,0.012,Alaska
2020-07-27,0.018285714285714287,Arizona
2020-07-27,0.016,Arkansas
2020-07-27,0.017714285714285714,California
2020-07-27,0.020571428571428574,Colorado
2020-07-27,0.016,Connecticut
2020-07-27,0.0051428571428571435,Delaware
2020-07-27,0.009142857142857144,Florida
2020-07-27,0.010285714285714287,Georgia
2020-07-27,0.009714285714285713,Hawaii
2020-07-27,0.023428571428571427,Idaho
2020-07-27,0.013714285714285714,Illinois
2020-07-27,0.013142857142857144,Indiana
2020-07-27,0.008571428571428572,Iowa
2020-07-27,0.021142857142857144,Kansas
2020-07-27,0.018857142857142857,Kentucky
2020-07-27,0.010857142857142857,Louisiana
2020-07-27,0.009714285714285713,Maine
2020-07-27,0.010285714285714287,Maryland
2020-07-27,0.014285714285714285,Massachusetts
2020-07-27,0.010857142857142857,Michigan
2020-07-27,0.013142857142857144,Minnesota
2020-07-27,0.011428571428571429,Mississippi
2020-07-27,0.013714285714285714,Missouri
2020-07-27,0.008571428571428572,Montana
2020-07-27,0.016571428571428574,Nebraska
2020-07-27,0.013714285714285714,Nevada
2020-07-27,0.013714285714285714,New Hampshire
2020-07-27,0.010857142857142857,New Jersey
2020-07-27,0.021714285714285714,New Mexico
2020-07-27,0.012,New York
2020-07-27,0.014285714285714285,North Carolina
2020-07-27,0.012571428571428572,North Dakota
2020-07-27,0.011428571428571429,Ohio
2020-07-27,0.016571428571428574,Oklahoma
2020-07-27,0.05714285714285714,Oregon
2020-07-27,0.012571428571428572,Pennsylvania
2020-07-27,0.022285714285714287,Rhode Island
2020-07-27,0.011428571428571429,South Carolina
2020-07-27,0.009714285714285713,South Dakota
2020-07-27,0.010857142857142857,Tennessee
2020-07-27,0.017142857142857144,Texas
2020-07-27,0.020571428571428574,Utah
2020-07-27,0.028,Vermont
2020-07-27,0.016,Virginia
2020-07-27,0.02857142857142857,Washington
2020-07-27,0.006857142857142857,West Virginia
2020-07-27,0.017714285714285714,Wisconsin
2020-07-27,0.018857142857142857,Wyoming
2020-08-03,0.006857142857142857,Alabama
2020-08-03,0.03,Alaska
2020-08-03,0.010714285714285714,Arizona
2020-08-03,0.012,Arkansas
2020-08-03,0.012428571428571428,California
2020-08-03,0.020142857142857143,Colorado
2020-08-03,0.009428571428571429,Connecticut
2020-08-03,0.009857142857142858,Delaware
2020-08-03,0.008142857142857143,Florida
2020-08-03,0.009857142857142858,Georgia
2020-08-03,0.012,Hawaii
2020-08-03,0.0077142857142857135,Idaho
2020-08-03,0.012857142857142855,Illinois
2020-08-03,0.012857142857142855,Indiana
2020-08-03,0.007285714285714286,Iowa
2020-08-03,0.015857142857142854,Kansas
2020-08-03,0.015857142857142854,Kentucky
2020-08-03,0.006857142857142857,Louisiana
2020-08-03,0.015857142857142854,Maine
2020-08-03,0.0077142857142857135,Maryland
2020-08-03,0.012428571428571428,Massachusetts
2020-08-03,0.012857142857142855,Michigan
2020-08-03,0.012,Minnesota
2020-08-03,0.006857142857142857,Mississippi
2020-08-03,0.014571428571428572,Missouri
2020-08-03,0.010714285714285714,Montana
2020-08-03,0.013285714285714286,Nebraska
2020-08-03,0.029142857142857144,Nevada
2020-08-03,0.008142857142857143,New Hampshire
2020-08-03,0.006,New Jersey
2020-08-03,0.011571428571428571,New Mexico
2020-08-03,0.010714285714285714,New York
2020-08-03,0.009857142857142858,North Carolina
2020-08-03,0.015857142857142854,North Dakota
2020-08-03,0.011571428571428571,Ohio
2020-08-03,0.011142857142857144,Oklahoma
2020-08-03,0.04285714285714286,Oregon
2020-08-03,0.010714285714285714,Pennsylvania
2020-08-03,0.01757142857142857,Rhode Island
2020-08-03,0.0051428571428571435,South Carolina
2020-08-03,0.023142857142857142,South Dakota
2020-08-03,0.011571428571428571,Tennessee
2020-08-03,0.012,Texas
2020-08-03,0.03514285714285714,Utah
2020-08-03,0.015857142857142854,Vermont
2020-08-03,0.011142857142857144,Virginia
2020-08-03,0.01757142857142857,Washington
2020-08-03,0.0077142857142857135,West Virginia
2020-08-03,0.011571428571428571,Wisconsin
2020-08-03,0.020571428571428574,Wyoming
2020-08-10,0.007771428571428571,Alabama
2020-08-10,0.008685714285714284,Alaska
2020-08-10,0.0128,Arizona
2020-08-10,0.005485714285714286,Arkansas
2020-08-10,0.0128,California
2020-08-10,0.01417142857142857,Colorado
2020-08-10,0.008228571428571427,Connecticut
2020-08-10,0.01737142857142857,Delaware
2020-08-10,0.007771428571428571,Florida
2020-08-10,0.013257142857142856,Georgia
2020-08-10,0.010057142857142857,Hawaii
2020-08-10,0.009142857142857142,Idaho
2020-08-10,0.045714285714285714,Illinois
2020-08-10,0.016914285714285715,Indiana
2020-08-10,0.0064,Iowa
2020-08-10,0.007771428571428571,Kansas
